device_sn,port,datetime,ETo.value,ETo.error_flag,ETo.error_description,ETo.units
z6-20762,1,2024-02-05,1.842,FALSE,NA,mm
z6-19484,1,2024-02-06,1.344,FALSE,NA,mm
z6-20761,1,2024-02-06,2.35,FALSE,NA,mm
z6-20762,1,2024-02-06,1.771,FALSE,NA,mm
z6-19484,1,2024-02-07,0.636,FALSE,NA,mm
z6-20761,1,2024-02-07,0.817,FALSE,NA,mm
z6-20762,1,2024-02-07,0.97,FALSE,NA,mm
z6-19484,1,2024-02-08,1.278,FALSE,NA,mm
z6-20761,1,2024-02-08,1.415,FALSE,NA,mm
z6-20762,1,2024-02-08,1.738,FALSE,NA,mm
z6-19484,1,2024-02-09,1.214,FALSE,NA,mm
z6-20761,1,2024-02-09,1.219,FALSE,NA,mm
z6-20762,1,2024-02-09,1.558,FALSE,NA,mm
z6-19484,1,2024-02-10,0.751,FALSE,NA,mm
z6-20761,1,2024-02-10,0.94,FALSE,NA,mm
z6-20762,1,2024-02-10,1.022,FALSE,NA,mm
z6-19484,1,2024-02-11,1.191,FALSE,NA,mm
z6-20761,1,2024-02-11,1.432,FALSE,NA,mm
z6-20762,1,2024-02-11,1.687,FALSE,NA,mm
